cust_id,income,age,years_with_bank,nbr_children,is_male,M_1_single,M_2_married,M_3_divorced,M_4_widowed
1362691,26150,46,5,1,1,0,1,0,0
1362487,6605,71,1,0,1,0,1,0,0
1363160,18548,38,8,0,0,1,0,0,0
1362752,47668,54,3,0,0,1,0,0,0
1362548,44554,59,9,2,0,0,0,0,1
1362813,15684,53,3,2,0,0,1,0,0
1363017,0,16,1,0,1,1,0,0,0
1362609,1929,79,8,0,0,0,1,0,0
1363486,39942,41,1,5,0,0,0,0,1
1363078,9622,46,6,1,1,0,1,0,0
1363282,25829,29,8,0,0,1,0,0,0
1363343,0,15,0,0,1,1,0,0,0
1362527,17622,44,1,0,1,0,1,0,0
1362670,8877,26,5,0,0,1,0,0,0
1362996,23351,51,1,2,0,0,1,0,0
1362935,0,15,0,0,1,1,0,0,0
1363465,10516,41,1,1,1,0,0,0,1
1363404,0,17,2,0,1,1,0,0,0
1362588,6354,66,6,0,1,0,1,0,0
1363200,21015,18,3,0,1,1,0,0,0
1362853,26505,50,0,1,0,0,1,0,0
1362792,3158,80,0,0,1,0,1,0,0
1363322,66930,58,8,0,0,0,1,0,0
1363261,19494,46,6,0,0,1,0,0,0
1363179,19334,42,2,2,0,0,0,0,1
1363057,6493,74,4,0,0,0,1,0,0
1363444,3171,22,1,1,0,0,1,0,0
1362649,8976,28,7,1,0,0,1,0,0
1362567,30664,56,6,1,0,0,1,0,0
1363383,21751,64,4,0,1,0,1,0,0
1363036,24326,60,0,0,0,0,1,0,0
1362506,76087,52,2,1,1,0,1,0,0
1362832,56597,31,1,2,0,0,1,0,0
1362975,36330,46,6,1,1,0,1,0,0
1363301,39991,40,0,0,0,1,0,0,0
1362771,24344,32,2,2,0,0,1,0,0
1362893,0,15,7,0,1,1,0,0,0
1363097,21663,54,4,1,0,0,1,0,0
1363158,13148,48,8,0,1,1,0,0,0
1362485,22690,25,4,0,0,1,0,0,0
1362546,10025,35,5,0,0,0,1,0,0
1362954,43317,30,0,3,0,0,1,0,0
1363015,24545,52,2,1,0,0,1,0,0
1363219,18036,36,6,2,0,0,1,0,0
1363484,10244,52,2,0,0,1,0,0,0
1362811,8011,82,2,0,0,0,1,0,0
1362607,24450,44,4,1,1,0,1,0,0
1363280,7571,23,2,1,0,0,0,0,1
1362872,17099,47,7,2,0,0,0,1,0
1363076,47083,43,3,1,0,0,1,0,0
1362729,0,13,5,0,1,1,0,0,0
1362668,0,13,5,0,1,1,0,0,0
1363198,60104,56,6,2,1,0,1,0,0
1362933,19823,55,5,1,1,0,1,0,0
1362586,24476,46,6,0,0,1,0,0,0
1363402,24368,63,3,0,0,1,0,0,0
1363055,34473,52,2,1,1,0,1,0,0
1362525,6300,77,7,0,0,1,0,0,0
1362851,51608,39,4,0,1,1,0,0,0
1363259,7335,28,7,1,1,0,1,0,0
1362912,29064,35,5,3,1,0,1,0,0
1362504,0,15,0,0,0,1,0,0,0
1362708,15246,29,4,0,1,1,0,0,0
1362973,17242,60,0,0,0,1,0,0,0
1363442,144157,58,5,0,1,0,1,0,0
1362769,27885,34,3,0,0,1,0,0,0
1362565,27492,49,9,0,0,1,0,0,0
1363238,5788,35,5,2,0,0,1,0,0
