cust_id,income,age,years_with_bank,nbr_children,is_male,M_1_single,M_2_married,M_3_divorced,M_4_widowed
1362691,0.1813994464368709,0.4342105263157895,0.5555555555555556,0.2,1,0,1,0,0
1362487,0.0458181010981083,0.763157894736842,0.1111111111111111,0.0,1,0,1,0,0
1363160,0.1286652746658157,0.3289473684210526,0.8888888888888888,0.0,0,1,0,0,0
1362752,0.3306672586138723,0.5394736842105263,0.3333333333333333,0.0,0,1,0,0,0
1362548,0.3090658101930534,0.6052631578947368,1.0,0.4,0,0,0,0,1
1362813,0.1087980465742211,0.5263157894736842,0.3333333333333333,0.4,0,0,1,0,0
1363017,0.0,0.0394736842105263,0.1111111111111111,0.0,1,1,0,0,0
1362609,0.0133812440602953,0.868421052631579,0.8888888888888888,0.0,0,0,1,0,0
1363486,0.2770729135595219,0.368421052631579,0.1111111111111111,1.0,0,0,0,0,1
1363078,0.0667466720311882,0.4342105263157895,0.6666666666666666,0.2,1,0,1,0,0
1363282,0.1791727075341468,0.2105263157894736,0.8888888888888888,0.0,0,1,0,0,0
1363343,0.0,0.0263157894736842,0.0,0.0,1,1,0,0,0
1362527,0.1222417225663686,0.4078947368421053,0.1111111111111111,0.0,1,0,1,0,0
1362670,0.0615786954500995,0.1710526315789473,0.5555555555555556,0.0,0,1,0,0,0
1362996,0.1619831156308746,0.5,0.1111111111111111,0.4,0,0,1,0,0
1362935,0.0,0.0263157894736842,0.0,0.0,1,1,0,0,0
1363465,0.0729482439284946,0.368421052631579,0.1111111111111111,0.2,1,0,0,0,1
1363404,0.0,0.0526315789473684,0.2222222222222222,0.0,1,1,0,0,0
1362588,0.044076943887567,0.6973684210526315,0.6666666666666666,0.0,1,0,1,0,0
1363200,0.145778560874602,0.0657894736842105,0.3333333333333333,0.0,1,1,0,0,0
1362853,0.1838620393043695,0.4868421052631578,0.0,0.2,0,0,1,0,0
1362792,0.0219066711987624,0.881578947368421,0.0,0.0,1,0,1,0,0
1363322,0.4642854665399529,0.5921052631578947,0.8888888888888888,0.0,0,0,1,0,0
1363261,0.1352275643916008,0.4342105263157895,0.6666666666666666,0.0,0,1,0,0,0
1363179,0.1341176633808972,0.381578947368421,0.2222222222222222,0.4,0,0,0,0,1
1363057,0.0450411703906157,0.8026315789473684,0.4444444444444444,0.0,0,0,1,0,0
1363444,0.0219968506558821,0.1184210526315789,0.1111111111111111,0.2,0,0,1,0,0
1362649,0.0622654467004724,0.1973684210526315,0.7777777777777777,0.2,0,0,1,0,0
1362567,0.2127125287013464,0.5657894736842105,0.6666666666666666,0.2,0,0,1,0,0
1363383,0.1508841055238386,0.6710526315789473,0.4444444444444444,0.0,1,0,1,0,0
1363036,0.1687465749148498,0.618421052631579,0.0,0.0,0,0,1,0,0
1362506,0.5278064887587838,0.513157894736842,0.2222222222222222,0.2,1,0,1,0,0
1362832,0.3926066718924506,0.2368421052631579,0.1111111111111111,0.4,0,0,1,0,0
1362975,0.252016898242888,0.4342105263157895,0.6666666666666666,0.2,1,0,1,0,0
1363301,0.2774128207440499,0.3552631578947368,0.0,0.0,0,1,0,0,0
1362771,0.1688714387785539,0.25,0.2222222222222222,0.4,0,0,1,0,0
1362893,0.0,0.0263157894736842,0.7777777777777777,0.0,1,1,0,0,0
1363097,0.1502736599679516,0.5394736842105263,0.4444444444444444,0.2,0,0,1,0,0
1363158,0.0912061155545689,0.4605263157894737,0.8888888888888888,0.0,1,1,0,0,0
1362485,0.1573978370804054,0.1578947368421052,0.4444444444444444,0.0,0,1,0,0,0
1362546,0.0695422352018979,0.2894736842105263,0.5555555555555556,0.0,0,0,1,0,0
1362954,0.3004848880040511,0.2236842105263158,0.0,0.6000000000000001,0,0,1,0,0
1363015,0.1702657519232503,0.513157894736842,0.2222222222222222,0.2,0,0,1,0,0
1363219,0.1251135914315642,0.3026315789473684,0.6666666666666666,0.4,0,0,1,0,0
1363484,0.0710614122102984,0.513157894736842,0.2222222222222222,0.0,0,1,0,0,0
1362811,0.0555713562296662,0.9078947368421052,0.2222222222222222,0.0,0,0,1,0,0
1362607,0.169606748198145,0.4078947368421053,0.4444444444444444,0.2,1,0,1,0,0
1363280,0.0525191284502313,0.131578947368421,0.2222222222222222,0.2,0,0,0,0,1
1362872,0.1186137336376312,0.4473684210526315,0.7777777777777777,0.4,0,0,0,1,0
1363076,0.3266091830434873,0.3947368421052631,0.3333333333333333,0.2,0,0,1,0,0
1362729,0.0,0.0,0.5555555555555556,0.0,1,1,0,0,0
1362668,0.0,0.0,0.5555555555555556,0.0,1,1,0,0,0
1363198,0.4169343146708102,0.5657894736842105,0.6666666666666666,0.4,1,0,1,0,0
1362933,0.1375097983448601,0.5526315789473684,0.5555555555555556,0.2,1,0,1,0,0
1362586,0.1697871071123844,0.4342105263157895,0.6666666666666666,0.0,0,1,0,0,0
1363402,0.1690379239301594,0.6578947368421052,0.3333333333333333,0.0,0,1,0,0,0
